tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2002-500,Halle,Grass,32,A,20020610,024,103819,2,,Roger Federer,R,185,SUI,20.8377823409,10,2135,102184,,Q,David Prinosil,R,185,GER,29.2539356605,206,182,6-2 6-4,3,R16,66,5,4,60,33,25,13,9,3,4,7,11,64,31,22,11,9,5,9
2002-440,'s-Hertogenbosch,Grass,32,A,20020617,024,103819,2,,Roger Federer,R,185,SUI,20.8569472964,9,2175,102730,,,Ivo Heuberger,R,188,SUI,26.3244353183,127,320,6-4 RET,3,R16,36,1,0,35,20,13,11,5,1,1,1,1,26,16,13,5,5,0,1
2002-440,'s-Hertogenbosch,Grass,32,A,20020617,016,103819,2,,Roger Federer,R,185,SUI,20.8569472964,9,2175,101990,,WC,Richard Krajicek,R,196,NED,30.5297741273,,,6-2 7-5,3,R32,58,3,2,57,33,27,15,10,3,3,6,6,49,21,18,12,10,0,3
2002-440,'s-Hertogenbosch,Grass,32,A,20020617,028,102854,6,,Sjeng Schalken,R,193,NED,25.7713894593,31,1120,103819,2,,Roger Federer,R,185,SUI,20.8569472964,9,2175,3-6 7-5 6-3,3,QF,98,2,1,86,53,31,25,15,0,3,3,8,84,48,36,16,15,3,7
2002-540,Wimbledon,Grass,128,G,20020624,016,104339,,Q,Mario Ancic,R,196,CRO,18.2340862423,154,244,103819,7,,Roger Federer,R,185,SUI,20.8761122519,9,2160,6-3 7-6(2) 6-3,5,R128,100,5,3,96,51,45,25,16,5,6,1,8,86,47,36,18,14,3,6
2002-314,Gstaad,Clay,32,A,20020708,012,103819,3,,Roger Federer,R,185,SUI,20.9144421629,11,1915,102271,,,Hicham Arazi,L,175,MAR,28.7173169062,46,760,6-4 6-3,3,R32,85,12,3,70,39,34,12,9,4,4,5,2,75,48,29,14,10,5,8
2002-314,Gstaad,Clay,32,A,20020708,022,103285,,Q,Radek Stepanek,R,185,CZE,23.6112251882,110,360,103819,3,,Roger Federer,R,185,SUI,20.9144421629,11,1915,3-6 6-3 6-2,3,R16,85,8,1,72,49,38,15,13,2,3,7,2,83,38,27,26,13,5,8
2002-421,Canada Masters,Hard,64,M,20020729,028,103084,,,Guillermo Canas,R,185,ARG,24.6735112936,19,1530,103819,10,,Roger Federer,R,185,SUI,20.9719370294,10,1915,7-6(10) 7-5,3,R64,101,12,2,71,38,33,23,12,1,2,6,6,84,49,39,15,12,2,4
2002-422,Cincinnati Masters,Hard,64,M,20020805,020,103344,,,Ivan Ljubicic,R,193,CRO,23.3812457221,34,999,103819,10,,Roger Federer,R,185,SUI,20.9911019849,14,1920,2-6 6-4 6-3,3,R64,101,13,2,77,42,33,22,14,3,5,7,5,76,39,30,21,13,2,4
2002-441,Long Island,Hard,48,A,20020819,032,103454,,,Nicolas Massu,R,183,CHI,22.8583162218,65,605,103819,2,,Roger Federer,R,185,SUI,21.029431896,13,1925,6-7(5) 6-1 6-3,3,R32,120,3,4,90,61,45,17,14,4,5,6,7,113,61,40,24,14,10,15
2002-560,US Open,Hard,128,G,20020826,102,103819,13,,Roger Federer,R,185,SUI,21.0485968515,13,1925,103598,19,,Xavier Malisse,R,185,BEL,22.1026694045,19,1410,4-6 6-3 6-4 6-4,5,R32,133,8,4,112,62,48,29,20,3,6,4,6,119,65,44,30,19,8,13
2002-560,US Open,Hard,128,G,20020826,076,103819,13,,Roger Federer,R,185,SUI,21.0485968515,13,1925,102021,,,Michael Chang,R,175,USA,30.507871321,132,314,6-3 6-1 6-3,5,R64,95,12,7,81,55,43,12,13,4,5,2,5,81,46,28,13,12,3,9
2002-560,US Open,Hard,128,G,20020826,024,103819,13,,Roger Federer,R,185,SUI,21.0485968515,13,1925,103181,,,Jiri Vanek,R,185,CZE,24.3394934976,157,249,6-1 6-3 4-6 7-5,5,R128,126,8,7,105,58,44,28,19,0,3,5,1,116,59,37,29,19,8,15
2002-560,US Open,Hard,128,G,20020826,115,103018,32,,Max Mirnyi,R,196,BLR,25.1389459274,34,1035,103819,13,,Roger Federer,R,185,SUI,21.0485968515,13,1925,6-3 7-6(5) 6-4,5,R16,112,11,5,101,67,56,20,16,5,5,4,4,93,48,35,28,15,5,7
2002-D067,Davis Cup WG PO: MAR vs SUI,Clay,4,D,20020920,3,103819,,,Roger Federer,R,185,SUI,21.106091718,13,1925,101962,,,Younes El Aynaoui,R,193,MAR,31.0116358658,19,1580,6-3 6-2 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2002-D067,Davis Cup WG PO: MAR vs SUI,Clay,4,D,20020920,2,103819,,,Roger Federer,R,185,SUI,21.106091718,13,1925,102271,,,Hicham Arazi,L,175,MAR,28.9089664613,70,560,6-3 6-2 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2002-438,Moscow,Carpet,32,A,20020930,018,103819,5,,Roger Federer,R,185,SUI,21.144421629,13,1925,103813,,,Jarkko Nieminen,L,185,FIN,21.1882272416,35,931,6-1 6-4,3,R16,51,3,3,53,26,25,13,9,1,1,2,1,42,24,15,12,8,3,6
2002-438,Moscow,Carpet,32,A,20020930,025,103498,1,,Marat Safin,R,193,RUS,22.674880219,4,2580,103819,5,,Roger Federer,R,185,SUI,21.144421629,13,1925,7-5 6-4,3,QF,79,3,0,57,32,27,17,11,0,0,5,2,75,46,32,15,11,3,5
2002-438,Moscow,Carpet,32,A,20020930,004,103819,5,,Roger Federer,R,185,SUI,21.144421629,13,1925,103350,,WC,Denis Golovanov,L,188,RUS,23.5126625599,167,220,6-0 6-1,3,R32,37,4,1,38,28,23,6,7,0,0,1,0,36,19,10,4,6,1,6
2002-337,Vienna,Hard,32,A,20021007,023,103819,6,,Roger Federer,R,185,SUI,21.1635865845,13,1925,103990,,,Tommy Robredo,R,180,ESP,20.4353182752,36,925,6-2 6-7(5) 6-4,3,R16,116,4,2,106,59,40,27,15,3,4,3,2,91,73,44,10,15,3,7
2002-337,Vienna,Hard,32,A,20021007,013,103819,6,,Roger Federer,R,185,SUI,21.1635865845,13,1925,103318,,Q,Zeljko Krajan,R,178,CRO,23.6741957563,115,350,7-5 6-1,3,R32,66,6,0,55,39,30,10,10,1,2,1,1,58,23,15,15,9,2,6
2002-337,Vienna,Hard,32,A,20021007,031,103819,6,,Roger Federer,R,185,SUI,21.1635865845,13,1925,102562,5,,Jiri Novak,R,190,CZE,27.5455167693,12,1961,6-4 6-1 3-6 6-4,5,F,129,12,3,116,68,45,30,18,7,10,2,5,116,71,44,24,18,6,12
2002-337,Vienna,Hard,32,A,20021007,030,103819,6,,Roger Federer,R,185,SUI,21.1635865845,13,1925,102845,4,,Carlos Moya,R,190,ESP,26.1108829569,9,2040,6-2 6-3,3,SF,66,4,1,53,36,26,14,9,4,4,1,0,61,36,24,9,8,4,7
2002-337,Vienna,Hard,32,A,20021007,028,103819,6,,Roger Federer,R,185,SUI,21.1635865845,13,1925,102539,,Q,Bohdan Ulihrach,R,188,CZE,27.6194387406,73,545,6-3 6-3,3,QF,60,5,0,47,28,26,12,9,1,1,2,3,70,40,23,15,9,6,9
2002-1536,Madrid Masters,Hard,48,M,20021014,019,103819,12,,Roger Federer,R,185,SUI,21.18275154,7,2115,102701,,,Marcelo Rios,L,175,CHI,26.8008213552,25,1240,6-4 6-2,3,R32,65,5,3,53,28,21,14,9,2,4,4,1,69,41,24,9,9,3,8
2002-1536,Madrid Masters,Hard,48,M,20021014,034,103819,12,,Roger Federer,R,185,SUI,21.18275154,7,2115,102839,,,Nicolas Lapentti,R,188,ECU,26.1683778234,30,1130,6-3 6-4,3,R16,81,4,0,60,41,32,13,10,2,2,3,1,66,37,26,13,9,7,9
2002-1536,Madrid Masters,Hard,48,M,20021014,041,102148,,Q,Fabrice Santoro,R,178,FRA,29.8453114305,50,725,103819,12,,Roger Federer,R,185,SUI,21.18275154,7,2115,7-5 6-3,3,QF,78,1,2,71,44,32,14,11,5,6,4,1,60,44,31,6,10,3,6
2002-328,Basel,Carpet,32,A,20021021,026,103819,3,,Roger Federer,R,185,SUI,21.2019164956,8,2235,104053,5,,Andy Roddick,R,188,USA,20.1423682409,12,1925,7-6(5) 6-1,3,QF,70,4,1,50,29,23,17,9,0,0,14,0,76,49,39,5,10,4,7
2002-328,Basel,Carpet,32,A,20021021,019,103819,3,,Roger Federer,R,185,SUI,21.2019164956,8,2235,102565,,Q,Alexander Waske,R,188,GER,27.5592060233,143,279,6-3 7-6(1),3,R16,68,8,1,60,40,36,14,11,2,2,8,3,59,33,26,14,10,1,2
2002-328,Basel,Carpet,32,A,20021021,029,103900,6,,David Nalbandian,R,180,ARG,20.8021902806,18,1592,103819,3,,Roger Federer,R,185,SUI,21.2019164956,8,2235,6-7(2) 7-5 6-3,3,SF,133,3,2,111,71,52,19,17,8,11,10,2,96,73,54,6,16,4,9
2002-328,Basel,Carpet,32,A,20021021,005,103819,3,,Roger Federer,R,185,SUI,21.2019164956,8,2235,103280,,LL,Martin Verkerk,R,196,NED,23.9726214921,92,440,6-3 6-3,3,R32,76,4,1,49,31,26,9,9,1,2,4,4,65,33,21,14,9,8,12
2002-352,Paris Masters,Carpet,48,M,20021028,041,103720,1,,Lleyton Hewitt,R,180,AUS,21.6728268309,1,4240,103819,8,,Roger Federer,R,185,SUI,21.2210814511,8,2170,6-4 6-4,3,QF,91,3,4,77,43,32,19,10,5,5,8,1,68,40,28,12,10,6,8
2002-352,Paris Masters,Carpet,48,M,20021028,034,103819,8,,Roger Federer,R,185,SUI,21.2210814511,8,2170,103163,9,,Tommy Haas,R,188,GER,24.5694729637,7,2170,6-2 7-6(2),3,R16,75,7,4,64,31,30,17,10,1,1,5,4,68,41,28,12,10,1,3
2002-352,Paris Masters,Carpet,48,M,20021028,020,103819,8,,Roger Federer,R,185,SUI,21.2210814511,8,2170,103598,,,Xavier Malisse,R,185,BEL,22.2751540041,26,1265,6-2 6-4,3,R32,52,5,1,48,32,25,8,9,0,1,0,1,53,37,23,6,9,1,5
2002-605,Masters Cup,Hard,8,F,20021111,004,103720,,,Lleyton Hewitt,R,180,AUS,21.711156742,1,3835,103819,,,Roger Federer,R,185,SUI,21.2594113621,6,2290,7-5 5-7 7-5,3,SF,180,7,8,132,67,49,28,18,16,21,3,5,114,62,41,24,18,7,13
2002-605,Masters Cup,Hard,8,F,20021111,008,103819,,,Roger Federer,R,185,SUI,21.2594113621,6,2290,103507,,,Juan Carlos Ferrero,R,183,ESP,22.7460643395,4,2340,6-3 6-4,3,RR,72,4,5,55,30,27,15,10,2,2,2,2,57,40,27,8,9,1,3
2002-605,Masters Cup,Hard,8,F,20021111,010,103819,,,Roger Federer,R,185,SUI,21.2594113621,6,2290,102563,,,Thomas Johansson,R,180,SWE,27.6358658453,14,1725,6-3 7-5,3,RR,74,7,2,65,44,35,13,11,2,2,8,3,65,37,29,10,10,6,8
2002-605,Masters Cup,Hard,8,F,20021111,009,103819,,,Roger Federer,R,185,SUI,21.2594113621,6,2290,102562,,,Jiri Novak,R,190,CZE,27.6413415469,7,2235,6-0 4-6 6-2,3,RR,91,7,0,71,41,33,18,12,4,5,0,3,80,52,29,12,12,6,11
2003-451,Doha,Hard,32,A,20021230,017,103819,1,,Roger Federer,R,185,SUI,21.3935660507,,,103356,,,Michel Kratochvil,R,185,SUI,23.7316906229,,,6-4 6-4,3,R16,68,9,2,60,36,29,12,10,3,4,0,6,58,34,26,10,10,5,8
2003-451,Doha,Hard,32,A,20021230,025,102998,9,,Jan Michael Gambill,R,190,USA,25.5742642026,,,103819,1,,Roger Federer,R,185,SUI,21.3935660507,,,6-4 7-5,3,QF,94,4,3,69,43,33,14,11,5,6,2,4,78,44,29,16,11,6,9
2003-451,Doha,Hard,32,A,20021230,001,103819,1,,Roger Federer,R,185,SUI,21.3935660507,,,102911,,LL,Andrei Stoliarov,R,178,RUS,25.9712525667,,,6-2 6-7(4) 6-4,3,R32,116,16,5,107,65,52,21,15,4,4,1,2,100,58,39,26,15,5,8
2003-338,Sydney,Hard,32,A,20030106,005,102644,,LL,Franco Squillari,L,183,ARG,27.3757700205,81,484,103819,4,,Roger Federer,R,185,SUI,21.4127310062,6,2590,6-2 6-3,3,R32,54,4,1,47,32,24,10,8,1,1,3,5,63,42,26,7,9,4,8
2003-580,Australian Open,Hard,128,G,20030113,116,103900,10,,David Nalbandian,R,180,ARG,21.0321697467,12,1740,103819,6,,Roger Federer,R,185,SUI,21.4318959617,6,2475,6-4 3-6 6-1 1-6 6-3,5,R16,178,3,2,133,79,50,30,21,10,17,9,9,148,77,58,26,21,9,17
2003-580,Australian Open,Hard,128,G,20030113,080,103819,6,,Roger Federer,R,185,SUI,21.4318959617,6,2475,102694,,,Lars Burgsmuller,R,183,GER,27.1047227926,76,525,6-3 6-0 6-3,5,R64,104,3,4,72,32,24,25,12,0,1,1,6,87,46,21,21,12,3,10
2003-580,Australian Open,Hard,128,G,20030113,104,103819,6,,Roger Federer,R,185,SUI,21.4318959617,6,2475,103714,,Q,Andreas Vinciguerra,L,180,SWE,21.8973305955,145,264,6-3 6-4 6-2,5,R32,96,9,0,72,45,37,18,14,2,3,4,6,95,54,35,16,13,5,10
2003-580,Australian Open,Hard,128,G,20030113,032,103819,6,,Roger Federer,R,185,SUI,21.4318959617,6,2475,103581,,,Flavio Saretta,R,183,BRA,22.5434633812,83,483,7-6(4) 7-5 6-3,5,R128,168,8,8,126,70,48,28,16,9,12,3,2,139,67,47,29,17,11,17
2003-D002,Davis Cup WG R1: NED vs SUI,Carpet,4,D,20030207,3,103819,,,Roger Federer,R,185,SUI,21.4893908282,6,2415,102854,,,Sjeng Schalken,R,193,NED,26.4038329911,19,1540,7-6(2) 6-4 7-5,5,RR,,,,,,,,,,,,,,,,,,,
2003-D002,Davis Cup WG R1: NED vs SUI,Carpet,4,D,20030207,2,103819,,,Roger Federer,R,185,SUI,21.4893908282,6,2415,103171,,,Raemon Sluiter,R,185,NED,24.810403833,77,539,6-2 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2003-496,Marseille,Hard,32,A,20030210,025,103819,1,,Roger Federer,R,185,SUI,21.5085557837,6,2415,103171,,,Raemon Sluiter,R,185,NED,24.8295687885,78,539,6-4 4-6 6-4,3,QF,108,12,8,93,57,41,21,15,11,13,4,0,92,58,36,23,15,6,9
2003-496,Marseille,Hard,32,A,20030210,029,103819,1,,Roger Federer,R,185,SUI,21.5085557837,6,2415,102344,,,Karol Kucera,R,188,SVK,28.93908282,62,613,7-6(5) 6-3,3,SF,86,3,1,57,41,32,12,10,0,0,4,1,75,49,35,11,11,4,6
2003-496,Marseille,Hard,32,A,20030210,001,103819,1,,Roger Federer,R,185,SUI,21.5085557837,6,2415,103344,,,Ivan Ljubicic,R,193,CRO,23.8986995209,52,700,7-6(3) RET,3,R32,51,5,2,38,24,21,10,6,0,0,7,6,43,23,18,12,6,1,1
2003-496,Marseille,Hard,32,A,20030210,031,103819,1,,Roger Federer,R,185,SUI,21.5085557837,6,2415,102035,,,Jonas Bjorkman,R,183,SWE,30.8856947296,86,480,6-2 7-6(6),3,F,84,5,2,63,41,35,10,10,1,2,8,2,80,60,37,9,10,7,10
2003-496,Marseille,Hard,32,A,20030210,017,103819,1,,Roger Federer,R,185,SUI,21.5085557837,6,2415,103813,,,Jarkko Nieminen,L,185,FIN,21.5523613963,35,1005,6-3 6-3,3,R16,67,10,2,66,39,28,15,9,10,11,3,0,55,38,23,7,9,5,9
2003-407,Rotterdam,Hard,32,A,20030217,016,103819,2,,Roger Federer,R,185,SUI,21.5277207392,5,2530,102358,,,Thomas Enqvist,R,190,SWE,28.9336071184,71,585,3-6 6-3 6-4,3,R32,97,9,5,71,38,35,18,14,3,5,8,9,93,44,31,25,14,4,7
2003-407,Rotterdam,Hard,32,A,20030217,030,103018,,,Max Mirnyi,R,196,BLR,25.6180698152,46,740,103819,2,,Roger Federer,R,185,SUI,21.5277207392,5,2530,5-7 6-3 6-4,3,SF,101,13,5,86,51,42,20,16,5,7,5,3,78,48,37,17,15,3,6
2003-407,Rotterdam,Hard,32,A,20030217,028,103819,2,,Roger Federer,R,185,SUI,21.5277207392,5,2530,102854,8,,Sjeng Schalken,R,193,NED,26.4421629021,19,1540,6-2 6-4,3,QF,66,9,3,57,33,25,11,9,1,3,0,3,47,21,12,10,9,1,6
2003-407,Rotterdam,Hard,32,A,20030217,024,103819,2,,Roger Federer,R,185,SUI,21.5277207392,5,2530,102148,,,Fabrice Santoro,R,178,FRA,30.1902806297,32,1045,6-0 6-4,3,R16,58,1,2,40,24,20,12,8,0,0,2,0,49,29,15,9,8,1,5
2003-495,Dubai,Hard,32,A,20030224,031,103819,1,,Roger Federer,R,185,SUI,21.5468856947,5,2580,102562,3,,Jiri Novak,R,190,CZE,27.9288158795,10,1921,6-1 7-6(2),3,F,76,3,4,59,23,16,21,10,0,2,0,1,63,39,19,13,9,5,9
2003-495,Dubai,Hard,32,A,20030224,029,103819,1,,Roger Federer,R,185,SUI,21.5468856947,5,2580,103344,,,Ivan Ljubicic,R,193,CRO,23.9370294319,60,630,6-3 6-2,3,SF,55,3,1,44,29,24,12,9,0,0,3,2,51,29,15,13,8,2,5
2003-495,Dubai,Hard,32,A,20030224,017,103819,1,,Roger Federer,R,185,SUI,21.5468856947,5,2580,103948,,Q,Maximilian Abel,R,,GER,20.9883641342,217,147,6-4 7-5,3,R16,79,3,2,56,37,32,10,11,0,1,2,5,81,55,35,12,11,11,14
2003-495,Dubai,Hard,32,A,20030224,001,103819,1,,Roger Federer,R,185,SUI,21.5468856947,5,2580,103789,,,Irakli Labadze,L,188,GEO,21.711156742,103,379,6-3 6-3,3,R32,63,2,2,50,31,25,10,9,3,4,4,8,66,31,19,17,9,7,11
2003-495,Dubai,Hard,32,A,20030224,025,103819,1,,Roger Federer,R,185,SUI,21.5468856947,5,2580,102271,,WC,Hicham Arazi,L,175,MAR,29.3497604381,113,348,7-5 6-3,3,QF,78,4,1,77,53,36,13,11,6,8,1,1,63,39,26,10,10,2,6
2003-404,Indian Wells Masters,Hard,64,M,20030310,024,103819,4,,Roger Federer,R,185,SUI,21.5852156057,4,2780,102456,,,Felix Mantilla,R,180,ESP,28.4599589322,46,810,6-7(4) 6-4 4-1 RET,3,R64,108,12,4,81,53,42,15,13,4,5,1,1,94,62,40,17,14,4,8
2003-404,Indian Wells Masters,Hard,64,M,20030310,044,102856,,,Gustavo Kuerten,R,190,BRA,26.4941820671,24,1230,103819,4,,Roger Federer,R,185,SUI,21.5852156057,4,2780,7-5 7-6(3),3,R32,105,6,1,87,45,32,25,12,6,8,4,3,76,43,30,16,12,4,7
2003-403,Miami Masters,Hard,96,M,20030317,091,102610,9,,Albert Costa,R,180,ESP,27.7262149213,9,2015,103819,4,,Roger Federer,R,185,SUI,21.6043805613,4,2740,7-6(4) 4-6 7-6(7),3,QF,192,4,3,122,68,50,28,17,10,14,13,5,127,78,58,23,17,5,8
2003-403,Miami Masters,Hard,96,M,20030317,086,103819,4,,Roger Federer,R,185,SUI,21.6043805613,4,2740,102854,14,,Sjeng Schalken,R,193,NED,26.5188227242,14,1630,6-3 6-2,3,R16,77,1,3,64,28,21,22,9,3,3,0,4,64,39,29,7,8,7,10
2003-403,Miami Masters,Hard,96,M,20030317,076,103819,4,,Roger Federer,R,185,SUI,21.6043805613,4,2740,103428,30,,Juan Ignacio Chela,R,190,ARG,23.5455167693,33,1065,6-1 3-6 6-1,3,R32,75,9,2,66,43,33,14,12,1,2,3,4,63,38,22,13,11,1,5
2003-403,Miami Masters,Hard,96,M,20030317,056,103819,4,,Roger Federer,R,185,SUI,21.6043805613,4,2740,103632,,Q,Luis Horna,R,180,PER,22.5023956194,82,492,6-2 7-5,3,R64,81,7,4,58,34,28,15,10,3,4,3,3,63,39,24,9,10,3,7
2003-D033,Davis Cup WG QF: FRA vs SUI,Hard,4,D,20030404,3,103819,,,Roger Federer,R,185,SUI,21.6427104723,5,2515,102148,,,Fabrice Santoro,R,178,FRA,30.3052703628,51,745,6-1 6-0 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2003-D033,Davis Cup WG QF: FRA vs SUI,Hard,4,D,20030404,2,103819,,,Roger Federer,R,185,SUI,21.6427104723,5,2515,102765,,,Nicolas Escude,R,185,FRA,26.9897330595,62,655,6-4 7-5 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2003-308,Munich,Clay,32,A,20030428,001,103819,1,,Roger Federer,R,185,SUI,21.7193702943,5,2480,103318,,,Zeljko Krajan,R,178,CRO,24.2299794661,103,380,6-4 6-3,3,R32,65,6,6,63,36,25,14,10,3,5,0,4,49,35,22,4,9,1,5
2003-308,Munich,Clay,32,A,20030428,017,103819,1,,Roger Federer,R,185,SUI,21.7193702943,5,2480,103171,,,Raemon Sluiter,R,185,NED,25.0403832991,66,628,6-4 6-3,3,R16,59,1,1,52,31,22,14,10,0,1,1,0,55,31,21,9,9,3,6
2003-308,Munich,Clay,32,A,20030428,029,103819,1,,Roger Federer,R,185,SUI,21.7193702943,5,2480,102905,,,Stefan Koubek,L,175,AUT,26.3162217659,63,640,6-2 6-1,3,SF,55,2,1,54,37,25,12,8,6,6,1,4,46,35,19,2,7,3,7
2003-308,Munich,Clay,32,A,20030428,025,103819,1,,Roger Federer,R,185,SUI,21.7193702943,5,2480,104022,6,,Mikhail Youzhny,R,183,RUS,20.8405201916,30,1090,6-2 6-3,3,QF,61,3,0,49,31,26,12,9,1,1,0,1,53,29,16,14,8,5,8
2003-308,Munich,Clay,32,A,20030428,031,103819,1,,Roger Federer,R,185,SUI,21.7193702943,5,2480,103813,8,,Jarkko Nieminen,L,185,FIN,21.7631759069,35,940,6-1 6-4,3,F,56,4,1,50,28,21,12,9,1,3,0,0,46,37,18,3,8,4,9
2003-416,Rome Masters,Clay,64,M,20030505,063,102456,,,Felix Mantilla,R,180,ESP,28.6132785763,47,790,103819,4,,Roger Federer,R,185,SUI,21.7385352498,5,2545,7-5 6-2 7-6(8),5,F,161,0,4,139,108,67,15,16,14,17,8,7,104,51,35,26,16,5,11
2003-416,Rome Masters,Clay,64,M,20030505,059,103819,4,,Roger Federer,R,185,SUI,21.7385352498,5,2545,103835,,WC,Filippo Volandri,R,183,ITA,21.6618754278,100,408,6-3 5-7 6-2,3,QF,122,6,0,82,47,37,18,15,1,4,0,5,109,77,50,10,14,10,15
2003-416,Rome Masters,Clay,64,M,20030505,024,103819,4,,Roger Federer,R,185,SUI,21.7385352498,5,2545,103908,,,Paul Henri Mathieu,R,185,FRA,21.3086926762,43,855,6-3 7-5,3,R64,87,5,4,60,34,25,15,10,5,7,1,6,65,39,23,10,11,6,11
2003-416,Rome Masters,Clay,64,M,20030505,054,103819,4,,Roger Federer,R,185,SUI,21.7385352498,5,2545,103990,,,Tommy Robredo,R,180,ESP,21.0102669405,19,1295,6-1 6-1,3,R16,49,1,2,38,24,20,9,7,0,0,0,1,46,32,16,3,7,1,6
2003-416,Rome Masters,Clay,64,M,20030505,044,103819,4,,Roger Federer,R,185,SUI,21.7385352498,5,2545,103151,,,Mariano Zabaleta,R,183,ARG,25.1800136893,39,883,7-6(4) 6-2,3,R32,108,14,1,73,51,38,11,10,7,8,0,3,95,54,34,18,10,13,16
2003-416,Rome Masters,Clay,64,M,20030505,062,103819,4,,Roger Federer,R,185,SUI,21.7385352498,5,2545,103507,2,,Juan Carlos Ferrero,R,183,ESP,23.2251882272,3,3275,6-4 4-2 RET,3,SF,57,3,1,40,16,14,17,7,1,1,2,2,45,28,18,7,7,4,7
2003-414,Hamburg Masters,Clay,64,M,20030512,044,103819,3,,Roger Federer,R,185,SUI,21.7577002053,5,2890,102227,,Q,Sargis Sargsian,R,180,ARM,29.9383983573,72,578,6-1 6-1,3,R32,52,2,0,43,26,18,11,7,1,2,1,2,47,30,12,5,7,3,9
2003-414,Hamburg Masters,Clay,64,M,20030512,054,102882,,,Mark Philippoussis,R,196,AUS,26.507871321,67,630,103819,3,,Roger Federer,R,185,SUI,21.7577002053,5,2890,6-3 2-6 6-3,3,R16,124,3,6,105,57,40,18,13,11,16,1,5,85,52,33,13,13,6,12
2003-414,Hamburg Masters,Clay,64,M,20030512,024,103819,3,,Roger Federer,R,185,SUI,21.7577002053,5,2890,103018,,,Max Mirnyi,R,196,BLR,25.8480492813,28,1080,6-3 6-3,3,R64,57,3,0,54,37,27,13,9,5,5,2,6,46,27,21,6,9,2,5
2003-520,Roland Garros,Clay,128,G,20030526,033,103632,,,Luis Horna,R,180,PER,22.6940451745,88,465,103819,5,,Roger Federer,R,185,SUI,21.7960301164,5,2465,7-6(6) 6-2 7-6(3),5,R128,131,4,2,111,86,60,15,16,4,6,10,4,103,59,45,18,16,4,8
2003-500,Halle,Grass,32,A,20030609,031,103819,1,,Roger Federer,R,185,SUI,21.8343600274,5,2465,103017,,,Nicolas Kiefer,R,183,GER,25.9274469541,73,586,6-1 6-3,3,F,69,3,1,45,26,23,12,8,0,0,3,1,50,27,15,10,8,1,5
2003-500,Halle,Grass,32,A,20030609,001,103819,1,,Roger Federer,R,185,SUI,21.8343600274,5,2465,102227,,,Sargis Sargsian,R,180,ARM,30.0150581793,61,653,7-5 6-1,3,R32,81,6,1,61,36,27,14,10,1,2,3,10,73,36,24,14,9,5,9
2003-500,Halle,Grass,32,A,20030609,025,103819,1,,Roger Federer,R,185,SUI,21.8343600274,5,2465,101962,5,,Younes El Aynaoui,R,193,MAR,31.7399041752,24,1215,7-5 7-6(3),3,QF,80,9,1,69,48,35,12,12,1,3,7,2,79,55,34,10,12,1,4
2003-500,Halle,Grass,32,A,20030609,029,103819,1,,Roger Federer,R,185,SUI,21.8343600274,5,2465,104022,6,,Mikhail Youzhny,R,183,RUS,20.9555099247,29,1130,4-6 7-6(4) 6-2,3,SF,145,12,4,90,60,47,14,15,2,4,4,2,145,96,56,25,15,18,21
2003-500,Halle,Grass,32,A,20030609,017,103819,1,,Roger Federer,R,185,SUI,21.8343600274,5,2465,102950,,,Fernando Vicente,R,180,ESP,26.2532511978,62,651,4-6 6-2 6-1,3,R16,84,11,2,76,55,39,13,13,3,4,1,0,72,39,26,16,12,5,9
2003-540,Wimbledon,Grass,128,G,20030623,101,103819,4,,Roger Federer,R,185,SUI,21.8726899384,5,2580,103888,,,Mardy Fish,R,188,USA,21.5359342916,45,840,6-3 6-1 4-6 6-1,5,R32,120,13,4,110,59,43,31,17,5,6,9,6,102,56,38,19,16,6,12
2003-540,Wimbledon,Grass,128,G,20030623,127,103819,4,,Roger Federer,R,185,SUI,21.8726899384,5,2580,102882,,,Mark Philippoussis,R,196,AUS,26.6228610541,48,735,7-6(5) 6-2 7-6(3),5,F,116,21,2,93,53,47,27,16,0,0,14,4,102,70,54,14,16,3,5
2003-540,Wimbledon,Grass,128,G,20030623,125,103819,4,,Roger Federer,R,185,SUI,21.8726899384,5,2580,104053,5,,Andy Roddick,R,188,USA,20.8131416838,6,2390,7-6(6) 6-3 6-3,5,SF,103,17,0,84,51,42,25,15,2,2,4,0,99,57,42,21,15,5,8
2003-540,Wimbledon,Grass,128,G,20030623,017,103819,4,,Roger Federer,R,185,SUI,21.8726899384,5,2580,102703,,,Hyung Taik Lee,R,180,KOR,27.4688569473,55,686,6-3 6-3 7-6(2),5,R128,105,15,3,99,64,48,19,15,7,9,2,4,97,67,43,11,15,6,11
